id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_gold_measurement_user,gold.measurement.user,model_gold_measurement,group_gold_mes_user,1,0,0,0
access_gold_measurement_leader,gold.measurement.leader,model_gold_measurement,group_gold_mes_leader,1,1,1,0
access_gold_measurement_director,gold.measurement.director,model_gold_measurement,group_gold_mes_director,1,1,1,1
access_gold_process_operation_user,gold.process.operation.user,model_gold_process_operation,group_gold_mes_user,1,0,0,0
access_gold_process_operation_leader,gold.process.operation.leader,model_gold_process_operation,group_gold_mes_leader,1,1,1,0
access_gold_process_operation_director,gold.process.operation.director,model_gold_process_operation,group_gold_mes_director,1,1,1,1
access_gold_process_route_user,gold.process.route.user,model_gold_process_route,group_gold_mes_user,1,0,0,0
access_gold_process_route_leader,gold.process.route.leader,model_gold_process_route,group_gold_mes_leader,1,1,1,0
access_gold_process_route_director,gold.process.route.director,model_gold_process_route,group_gold_mes_director,1,1,1,1
access_gold_equipment_user,gold.equipment.user,model_gold_equipment,group_gold_mes_user,1,0,0,0
access_gold_equipment_device,gold.equipment.device,model_gold_equipment,group_gold_mes_device,1,1,1,0
access_gold_equipment_director,gold.equipment.director,model_gold_equipment,group_gold_mes_director,1,1,1,1
access_gold_workstation_user,gold.workstation.user,model_gold_workstation,group_gold_mes_user,1,0,0,0
access_gold_workstation_leader,gold.workstation.leader,model_gold_workstation,group_gold_mes_leader,1,1,1,0
access_gold_workstation_director,gold.workstation.director,model_gold_workstation,group_gold_mes_director,1,1,1,1
access_gold_material_batch_user,gold.material.batch.user,model_gold_material_batch,group_gold_mes_user,1,0,0,0
access_gold_material_batch_warehouse,gold.material.batch.warehouse,model_gold_material_batch,group_gold_mes_warehouse,1,1,1,0
access_gold_material_batch_leader,gold.material.batch.leader,model_gold_material_batch,group_gold_mes_leader,1,1,1,0
access_gold_material_batch_director,gold.material.batch.director,model_gold_material_batch,group_gold_mes_director,1,1,1,1
access_gold_price_engine_user,gold.price.engine.user,model_gold_price_engine,group_gold_mes_user,1,0,0,0
access_gold_price_engine_leader,gold.price.engine.leader,model_gold_price_engine,group_gold_mes_leader,1,1,0,0
access_gold_price_engine_director,gold.price.engine.director,model_gold_price_engine,group_gold_mes_director,1,1,1,1
access_gold_recycle_user,gold.recycle.user,model_gold_recycle,group_gold_mes_user,1,0,0,0
access_gold_recycle_warehouse,gold.recycle.warehouse,model_gold_recycle,group_gold_mes_warehouse,1,1,1,0
access_gold_recycle_director,gold.recycle.director,model_gold_recycle,group_gold_mes_director,1,1,1,1
access_gold_mold_user,gold.mold.user,model_gold_mold,group_gold_mes_user,1,0,0,0
access_gold_mold_leader,gold.mold.leader,model_gold_mold,group_gold_mes_leader,1,1,1,0
access_gold_mold_director,gold.mold.director,model_gold_mold,group_gold_mes_director,1,1,1,1
access_gold_wax_model_user,gold.wax.model.user,model_gold_wax_model,group_gold_mes_user,1,0,0,0
access_gold_wax_model_leader,gold.wax.model.leader,model_gold_wax_model,group_gold_mes_leader,1,1,1,0
access_gold_wax_model_director,gold.wax.model.director,model_gold_wax_model,group_gold_mes_director,1,1,1,1
access_gold_workorder_report_user,gold.workorder.report.user,model_gold_workorder_report,group_gold_mes_user,1,1,1,0
access_gold_workorder_report_leader,gold.workorder.report.leader,model_gold_workorder_report,group_gold_mes_leader,1,1,1,0
access_gold_workorder_report_director,gold.workorder.report.director,model_gold_workorder_report,group_gold_mes_director,1,1,1,1
access_gold_workorder_report_qc,gold.workorder.report.qc,model_gold_workorder_report,group_gold_mes_qc,1,1,0,0
access_gold_loss_trace_user,gold.loss.trace.user,model_gold_loss_trace,group_gold_mes_user,1,0,0,0
access_gold_loss_trace_leader,gold.loss.trace.leader,model_gold_loss_trace,group_gold_mes_leader,1,1,0,0
access_gold_loss_trace_director,gold.loss.trace.director,model_gold_loss_trace,group_gold_mes_director,1,1,1,1
access_gold_quality_inspection_user,gold.quality.inspection.user,model_gold_quality_inspection,group_gold_mes_user,1,0,0,0
access_gold_quality_inspection_qc,gold.quality.inspection.qc,model_gold_quality_inspection,group_gold_mes_qc,1,1,1,0
access_gold_quality_inspection_director,gold.quality.inspection.director,model_gold_quality_inspection,group_gold_mes_director,1,1,1,1
access_gold_imprint_user,gold.imprint.user,model_gold_imprint,group_gold_mes_user,1,0,0,0
access_gold_imprint_qc,gold.imprint.qc,model_gold_imprint,group_gold_mes_qc,1,1,1,0
access_gold_imprint_director,gold.imprint.director,model_gold_imprint,group_gold_mes_director,1,1,1,1
access_gold_xrf_record_user,gold.xrf.record.user,model_gold_xrf_record,group_gold_mes_user,1,0,0,0
access_gold_xrf_record_qc,gold.xrf.record.qc,model_gold_xrf_record,group_gold_mes_qc,1,1,1,0
access_gold_xrf_record_director,gold.xrf.record.director,model_gold_xrf_record,group_gold_mes_director,1,1,1,1
access_gold_dashboard_user,gold.dashboard.user,model_gold_dashboard,group_gold_mes_user,1,0,0,0
access_gold_dashboard_director,gold.dashboard.director,model_gold_dashboard,group_gold_mes_director,1,1,1,1
access_gold_outsource_order_user,gold.outsource.order.user,model_gold_outsource_order,group_gold_mes_user,1,0,0,0
access_gold_outsource_order_leader,gold.outsource.order.leader,model_gold_outsource_order,group_gold_mes_leader,1,1,1,0
access_gold_outsource_order_warehouse,gold.outsource.order.warehouse,model_gold_outsource_order,group_gold_mes_warehouse,1,1,1,0
